,0,1,2,3,4,5,6,7,8,9,10,11,12
0,2,7,8,4,0,11,10,1,5,6,9,3,12
1,2,7,8,4,0,11,10,1,5,6,9,3,12
2,2,7,8,4,0,11,10,1,5,6,9,3,12
3,2,7,8,4,0,11,10,1,5,6,9,3,12
4,2,7,8,4,0,11,10,1,5,6,9,3,12
5,2,7,8,4,0,11,10,1,5,6,9,3,12
6,2,7,8,4,0,11,10,1,5,6,9,3,12
7,2,7,8,4,0,11,10,1,5,6,9,3,12
8,2,7,8,4,0,11,10,1,5,6,9,3,12
9,2,7,8,4,0,11,10,1,5,6,9,3,12
10,2,7,8,4,0,11,10,1,5,6,9,3,12
11,2,7,8,4,0,11,10,1,5,6,9,3,12
12,2,7,8,4,0,11,10,1,5,6,9,3,12
13,2,7,8,4,0,11,10,1,5,6,9,3,12
14,2,7,8,4,0,11,10,1,5,6,9,3,12
15,2,7,8,4,0,11,10,1,5,6,9,3,12
16,2,7,8,4,0,11,10,1,5,6,9,3,12
17,2,7,8,4,0,11,10,1,5,6,9,3,12
18,2,7,8,4,0,11,10,1,5,6,9,3,12
19,2,7,8,4,0,11,10,1,5,6,9,3,12
20,2,7,8,4,0,11,10,1,5,6,9,3,12
21,2,7,8,4,0,11,10,1,5,6,9,3,12
22,2,7,8,4,0,11,10,1,5,6,9,3,12
23,2,7,8,4,0,11,10,1,5,6,9,3,12
24,2,7,8,4,0,11,10,1,5,6,9,3,12
25,2,7,8,4,0,11,10,1,5,6,9,3,12
26,2,7,8,4,0,11,10,1,5,6,9,3,12
27,2,7,8,4,0,11,10,1,5,6,9,3,12
28,2,7,8,4,0,11,10,1,5,6,9,3,12
29,2,7,8,4,0,11,10,1,5,6,9,3,12
30,2,7,8,4,0,11,10,1,5,6,9,3,12
31,2,7,8,4,0,11,10,1,5,6,9,3,12
32,2,7,8,4,0,11,10,1,5,6,9,3,12
33,2,7,8,4,0,11,10,1,5,6,9,3,12
34,2,7,8,4,0,11,10,1,5,6,9,3,12
35,2,7,8,4,0,11,10,1,5,6,9,3,12
36,2,7,8,4,0,11,10,1,5,6,9,3,12
37,2,7,8,4,0,11,10,1,5,6,9,3,12
38,2,7,8,4,0,11,10,1,5,6,9,3,12
39,2,7,8,4,0,11,10,1,5,6,9,3,12
40,2,7,8,4,0,11,10,1,5,6,9,3,12
41,2,7,8,4,0,11,10,1,5,6,9,3,12
42,2,7,8,4,0,11,10,1,5,6,9,3,12
43,2,7,8,4,0,11,10,1,5,6,9,3,12
44,2,7,8,4,0,11,10,1,5,6,9,3,12
45,2,7,8,4,0,11,10,1,5,6,9,3,12
46,2,7,8,4,0,11,10,1,5,6,9,3,12
47,2,7,8,4,0,11,10,1,5,6,9,3,12
48,2,7,8,4,0,11,10,1,5,6,9,3,12
49,2,7,8,4,0,11,10,1,5,6,9,3,12
50,2,7,8,4,0,11,10,1,5,6,9,3,12
51,2,7,8,4,0,11,10,1,5,6,9,3,12
52,2,7,8,4,0,11,10,1,5,6,9,3,12
53,2,7,8,4,0,11,10,1,5,6,9,3,12
54,2,7,8,4,0,11,10,1,5,6,9,3,12
55,2,7,8,4,0,11,10,1,5,6,9,3,12
56,2,7,8,4,0,11,10,1,5,6,9,3,12
57,2,7,8,4,0,11,10,1,5,6,9,3,12
58,2,7,8,4,0,11,10,1,5,6,9,3,12
59,2,7,8,4,0,11,10,1,5,6,9,3,12
60,2,7,8,4,0,11,10,1,5,6,9,3,12
61,2,7,8,4,0,11,10,1,5,6,9,3,12
62,2,7,8,4,0,11,10,1,5,6,9,3,12
63,2,7,8,4,0,11,10,1,5,6,9,3,12
64,2,7,8,4,0,11,10,1,5,6,9,3,12
65,2,7,8,4,0,11,10,1,5,6,9,3,12
66,2,7,8,4,0,11,10,1,5,6,9,3,12
67,2,7,8,4,0,11,10,1,5,6,9,3,12
68,2,7,8,4,0,11,10,1,5,6,9,3,12
69,2,7,8,4,0,11,10,1,5,6,9,3,12
70,2,7,8,4,0,11,10,1,5,6,9,3,12
71,2,7,8,4,0,11,10,1,5,6,9,3,12
72,2,7,8,4,0,11,10,1,5,6,9,3,12
73,2,7,8,4,0,11,10,1,5,6,9,3,12
74,2,7,8,4,0,11,10,1,5,6,9,3,12
75,2,7,8,4,0,11,10,1,5,6,9,3,12
76,2,7,8,4,0,11,10,1,5,6,9,3,12
77,2,7,8,4,0,11,10,1,5,6,9,3,12
78,2,7,8,4,0,11,10,1,5,6,9,3,12
79,2,7,8,4,0,11,10,1,5,6,9,3,12
80,2,7,8,4,0,11,10,1,5,6,9,3,12
81,2,7,8,4,0,11,10,1,5,6,9,3,12
82,2,7,8,4,0,11,10,1,5,6,9,3,12
83,2,7,8,4,0,11,10,1,5,6,9,3,12
84,2,7,8,4,0,11,10,1,5,6,9,3,12
85,2,7,8,4,0,11,10,1,5,6,9,3,12
86,2,7,8,4,0,11,10,1,5,6,9,3,12
87,2,7,8,4,0,11,10,1,5,6,9,3,12
88,2,7,8,4,0,11,10,1,5,6,9,3,12
89,2,7,8,4,0,11,10,1,5,6,9,3,12
90,2,7,8,4,0,11,10,1,5,6,9,3,12
91,2,7,8,4,0,11,10,1,5,6,9,3,12
92,2,7,8,4,0,11,10,1,5,6,9,3,12
93,2,7,8,4,0,11,10,1,5,6,9,3,12
94,2,7,8,4,0,11,10,1,5,6,9,3,12
95,2,7,8,4,0,11,10,1,5,6,9,3,12
96,2,7,8,4,0,11,10,1,5,6,9,3,12
97,2,7,8,4,0,11,10,1,5,6,9,3,12
98,2,7,8,4,0,11,10,1,5,6,9,3,12
99,2,7,8,4,0,11,10,1,5,6,9,3,12
